Cryptocurrency,Price (USD),24h Volume (USD),Market Cap (USD),SMA (10)
bitcoin,62884.44002271679,,,62938.30137566852
bitcoin,62812.42354825584,,,62902.273526219666
bitcoin,62700.898433980416,,,62859.50000428903
bitcoin,62629.676874796736,,,62808.128598612326
bitcoin,62591.27215225804,,,62772.20652681347
bitcoin,62784.84428558446,,,62763.43568591318
bitcoin,62924.27314216407,,,62752.88540758565
bitcoin,62898.99272469967,,,62757.80030716966
bitcoin,63238.25175392767,,,62809.56287435886
bitcoin,63304.5401448964,,,62876.961308328006
bitcoin,62734.546819803894,,,62861.97198803672
bitcoin,63849.17256282697,,,62965.64688949382
bitcoin,63458.9142356631,,,63041.44846966209
bitcoin,63776.94859257198,,,63156.17564143962
bitcoin,63820.0405246694,,,63279.05247868076
bitcoin,64501.15829950209,,,63450.68388007253
bitcoin,64306.459582669086,,,63588.90252412303
bitcoin,63792.9532888288,,,63678.298580535935
bitcoin,63651.56887446489,,,63719.630292589645
bitcoin,63624.815594830434,,,63751.65783758306
bitcoin,63439.76687029365,,,63822.17984263205
bitcoin,63556.53491966304,,,63792.916078315655
bitcoin,63638.03054249659,,,63810.827708999
bitcoin,63418.90810348824,,,63775.023660090614
bitcoin,63342.77255777203,,,63727.29686340089
bitcoin,63365.70408770886,,,63613.75144222156
bitcoin,63256.27299901569,,,63508.73278385622
bitcoin,63178.5404933955,,,63447.29150431289
bitcoin,63579.928590958574,,,63440.12747596226
bitcoin,63211.27843149886,,,63398.7737596291
bitcoin,63412.95660391257,,,63396.092732991
bitcoin,63379.45064316519,,,63378.38430534121
bitcoin,63377.9661035729,,,63352.37786144884
bitcoin,63425.84478353017,,,63353.07152945304
bitcoin,63277.13975480292,,,63346.50824915612
bitcoin,63270.97049959894,,,63337.03489034512
bitcoin,63293.02227584865,,,63340.70981802842
bitcoin,62916.27331139424,,,63314.483099828314
bitcoin,62932.24332229067,,,63249.71457296152
bitcoin,63058.87304547308,,,63234.47403435894
bitcoin,63062.21063151522,,,63199.399437119195
bitcoin,63156.44736973828,,,63177.09910977651
bitcoin,63286.2928040735,,,63167.93177982656
bitcoin,63409.31637361686,,,63166.27893883523
bitcoin,63632.35809448501,,,63201.80077280344
bitcoin,63869.96763625674,,,63261.700486469235
bitcoin,63585.918945046295,,,63290.99015338899
bitcoin,63411.43309603601,,,63340.50613185317
bitcoin,63659.06812557422,,,63413.18861218153
bitcoin,63443.50486853077,,,63451.6517944873
bitcoin,63486.36710004105,,,63494.067441339874
bitcoin,63280.81184745907,,,63506.503889111955
bitcoin,63187.87136572216,,,63496.66174527681
bitcoin,63280.72061497188,,,63483.802169412316
bitcoin,63913.55325981623,,,63511.92168594544
bitcoin,63796.65187679873,,,63504.59010999964
bitcoin,64313.83296170882,,,63577.381511665895
bitcoin,64262.188119867395,,,63662.45701404903
bitcoin,64500.5097419534,,,63746.60117568695
bitcoin,64470.556436023886,,,63849.30633243626
bitcoin,64130.604526076364,,,63913.7300750398
bitcoin,64109.68604562235,,,63996.617494856124
bitcoin,64481.86159714476,,,64126.01651799838
bitcoin,64422.42516647876,,,64240.18697314907
bitcoin,64468.16327732497,,,64295.64797489995
bitcoin,64169.49665558019,,,64332.932452778085
bitcoin,64101.884913661226,,,64311.73764797333
bitcoin,63826.695542602756,,,64268.18839024687
bitcoin,63829.56074077468,,,64201.09349012899
bitcoin,63720.9499132722,,,64126.132837853824
bitcoin,63513.596264426225,,,64064.432011688805
bitcoin,63569.073692051796,,,64010.37077633175
bitcoin,63758.85574568504,,,63938.07019118578
bitcoin,63545.47680207279,,,63850.37535474519
bitcoin,63717.64211146071,,,63775.32323815877
bitcoin,63984.639852140775,,,63756.837557814826
bitcoin,63548.72429007291,,,63701.52149545601
bitcoin,63401.15911142987,,,63658.967852338705
bitcoin,63210.56613653398,,,63597.06839191463
bitcoin,63339.70358428479,,,63558.94375901589
bitcoin,63327.78550657698,,,63540.36268323097
bitcoin,63484.87451909205,,,63531.942765935
bitcoin,63459.84804425882,,,63502.04199579238
bitcoin,63149.826766914484,,,63462.47699227653
bitcoin,63146.20550375649,,,63405.33333150612
bitcoin,62872.963592621585,,,63294.1657055542
bitcoin,63107.034437457965,,,63249.9967202927
bitcoin,63355.715168777795,,,63245.4523260275
bitcoin,63476.86246501799,,,63272.08195887589
bitcoin,63419.36452917887,,,63280.0480533653
bitcoin,63759.106213995015,,,63323.18012410709
bitcoin,63682.8261234965,,,63342.975284547545
bitcoin,63769.852521841574,,,63373.97573230583
bitcoin,63627.59128573844,,,63421.752184188226
bitcoin,63890.3278883831,,,63496.164422650894
bitcoin,64329.51167119158,,,63641.819230507885
bitcoin,64345.08693505475,,,63765.624480267565
bitcoin,64417.49599534962,,,63871.80256292474
bitcoin,64966.42607826345,,,64020.75892424929
bitcoin,64606.33879645024,,,64139.45635097644
bitcoin,65498.62114832278,,,64313.407844409216
bitcoin,65501.33287313312,,,64495.25851937286
bitcoin,65216.730040768525,,,64639.94627126555
bitcoin,65223.19566762516,,,64799.50670945422
bitcoin,64754.698699133485,,,64885.94379052926
bitcoin,64840.67968468501,,,64937.06059187862
bitcoin,65182.274278567034,,,65020.779326229844
bitcoin,65069.996931185764,,,65086.02941981346
bitcoin,65130.76889730757,,,65102.46370171788
bitcoin,65257.84821753061,,,65167.6146438259
bitcoin,65161.216740739495,,,65133.874203067586
bitcoin,65001.916837761106,,,65083.932599530366
bitcoin,65379.61458684698,,,65100.22105413823
bitcoin,65324.10946330212,,,65110.31243370592
bitcoin,65450.82150945821,,,65179.92471473839
bitcoin,65377.60977075083,,,65233.61772334496
bitcoin,65467.56135478949,,,65262.146430967216
bitcoin,65743.28948854572,,,65329.47568670321
bitcoin,65780.33592293535,,,65394.432389265996
bitcoin,65552.91924229098,,,65423.939491742036
bitcoin,65506.10948297404,,,65458.42876596549
bitcoin,65732.40913835916,,,65531.47799602529
bitcoin,65698.23958863805,,,65563.3404962044
bitcoin,66236.29079707348,,,65654.55862958153
bitcoin,66078.60645198142,,,65717.33712383386
bitcoin,66304.16788396394,,,65809.99293515518
bitcoin,65907.98103411353,,,65854.03490308757
bitcoin,65939.14922858913,,,65873.62087709192
bitcoin,65679.18518404018,,,65863.5058032024
bitcoin,65800.61092989425,,,65888.2749719627
bitcoin,65844.60693332016,,,65922.12471699732
bitcoin,65884.02303004314,,,65937.28610616573
bitcoin,65814.92513343158,,,65948.95466064509
bitcoin,65866.28918042478,,,65911.95449898022
bitcoin,65985.80791540285,,,65902.67464532235
bitcoin,66179.30139362172,,,65890.18799628815
bitcoin,66055.39256454223,,,65904.92914933102
bitcoin,66002.01485251758,,,65911.21571172385
bitcoin,65973.97555027081,,,65940.69474834691
bitcoin,65819.48599511909,,,65942.5822548694
bitcoin,65845.12292222944,,,65942.63385376033
bitcoin,65648.5225463475,,,65919.08380539075
bitcoin,65637.96021865046,,,65901.38731391265
bitcoin,65797.79718639013,,,65894.53811450918
bitcoin,65738.67193806835,,,65869.82451677574
bitcoin,65549.73524812268,,,65806.86790222583
bitcoin,65661.39356676763,,,65767.46800244837
bitcoin,65697.49723301647,,,65737.01624049825
bitcoin,65621.90910087393,,,65701.80959555857
bitcoin,65537.09538589083,,,65673.57053463574
bitcoin,65619.82551684372,,,65651.04079409716
bitcoin,65718.62003092236,,,65658.05054255466
bitcoin,65732.89730514001,,,65667.54425120361
bitcoin,65689.00011937223,,,65656.66454450184
bitcoin,65607.80630933864,,,65643.57798162886
bitcoin,65703.24498884352,,,65658.92895570095
bitcoin,65869.08869010779,,,65679.69846803494
bitcoin,65753.42856477744,,,65685.29160121104
bitcoin,65849.82181514482,,,65708.08287263813
bitcoin,65784.3515787368,,,65732.80849192273
bitcoin,65820.39595280106,,,65752.86553551847
bitcoin,65753.77455822933,,,65756.38098824918
bitcoin,65605.49316578607,,,65743.64057431377
bitcoin,65495.73327312595,,,65724.31388968913
bitcoin,65483.5766220925,,,65711.89092096454
bitcoin,65572.91228582137,,,65698.85765066232
bitcoin,65581.60377130368,,,65670.10915878191
bitcoin,65597.09365064261,,,65654.47566736842
bitcoin,65762.89489896805,,,65645.78297575074
bitcoin,65635.49194243642,,,65630.89701212071
bitcoin,65814.50773734815,,,65630.30819057542
bitcoin,65636.22650367954,,,65618.55338512044
bitcoin,65756.8496125422,,,65633.68902979605
bitcoin,65802.63199782168,,,65664.37890226563
bitcoin,65834.19396282289,,,65699.44063633867
bitcoin,65810.72918645393,,,65723.22232640191
bitcoin,65955.12768292298,,,65760.57471756384
bitcoin,65828.7934295196,,,65783.74469545155
bitcoin,65898.99855442859,,,65797.35506099761
bitcoin,65586.45298542893,,,65792.45116529684
